postcode, ra_category, ra_name
0800, 2, Outer Regional Australia
0810, 2, Outer Regional Australia
0812, 2, Outer Regional Australia
0820, 2, Outer Regional Australia
0822, 4, Very Remote Australia
0828, 2, Outer Regional Australia
0829, 2, Outer Regional Australia
0830, 2, Outer Regional Australia
0832, 2, Outer Regional Australia
0834, 2, Outer Regional Australia
0835, 2, Outer Regional Australia
0836, 2, Outer Regional Australia
0837, 2, Outer Regional Australia
0838, 2, Outer Regional Australia
0839, 2, Outer Regional Australia
0840, 3, Remote Australia
0841, 2, Outer Regional Australia
0845, 3, Remote Australia
0846, 3, Remote Australia
0847, 3, Remote Australia
0850, 3, Remote Australia
0852, 4, Very Remote Australia
0853, 3, Remote Australia
0854, 4, Very Remote Australia
0860, 4, Very Remote Australia
0862, 4, Very Remote Australia
0870, 3, Remote Australia
0872, 4, Very Remote Australia
0880, 4, Very Remote Australia
0885, 4, Very Remote Australia
0886, 3, Remote Australia
0909, 2, Outer Regional Australia
2083, 1, Inner Regional Australia
2157, 1, Inner Regional Australia
2311, 1, Inner Regional Australia
2312, 1, Inner Regional Australia
2314, 1, Inner Regional Australia
2315, 1, Inner Regional Australia
2316, 1, Inner Regional Australia
2317, 1, Inner Regional Australia
2318, 1, Inner Regional Australia
2319, 1, Inner Regional Australia
2325, 1, Inner Regional Australia
2328, 1, Inner Regional Australia
2329, 2, Outer Regional Australia
2330, 1, Inner Regional Australia
2331, 1, Inner Regional Australia
2333, 1, Inner Regional Australia
2334, 1, Inner Regional Australia
2335, 1, Inner Regional Australia
2336, 1, Inner Regional Australia
2337, 1, Inner Regional Australia
2338, 2, Outer Regional Australia
2339, 2, Outer Regional Australia
2340, 1, Inner Regional Australia
2341, 1, Inner Regional Australia
2342, 2, Outer Regional Australia
2343, 2, Outer Regional Australia
2344, 1, Inner Regional Australia
2345, 2, Outer Regional Australia
2346, 2, Outer Regional Australia
2347, 2, Outer Regional Australia
2350, 1, Inner Regional Australia
2351, 1, Inner Regional Australia
2352, 1, Inner Regional Australia
2353, 2, Outer Regional Australia
2354, 2, Outer Regional Australia
2355, 2, Outer Regional Australia
2356, 3, Remote Australia
2357, 2, Outer Regional Australia
2358, 2, Outer Regional Australia
2359, 2, Outer Regional Australia
2360, 2, Outer Regional Australia
2361, 2, Outer Regional Australia
